rvar	I(Rl)	I(Rv)
1.000000000000000e+00	1.015987e-02	1.014082e-02
1.047128548050900e+00	1.015987e-02	1.014082e-02
1.096478196143185e+00	1.015987e-02	1.014082e-02
1.148153621496883e+00	1.015987e-02	1.014082e-02
1.202264434617413e+00	1.015987e-02	1.014082e-02
1.258925411794168e+00	1.015987e-02	1.014082e-02
1.318256738556407e+00	1.015987e-02	1.014082e-02
1.380384264602885e+00	1.015987e-02	1.014082e-02
1.445439770745928e+00	1.015986e-02	1.014082e-02
1.513561248436209e+00	1.015986e-02	1.014082e-02
1.584893192461114e+00	1.015986e-02	1.014082e-02
1.659586907437562e+00	1.015986e-02	1.014082e-02
1.737800828749376e+00	1.015986e-02	1.014082e-02
1.819700858609985e+00	1.015986e-02	1.014082e-02
1.905460717963249e+00	1.015986e-02	1.014082e-02
1.995262314968881e+00	1.015986e-02	1.014082e-02
2.089296130854041e+00	1.015986e-02	1.014082e-02
2.187761623949555e+00	1.015986e-02	1.014082e-02
2.290867652767775e+00	1.015985e-02	1.014082e-02
2.398832919019493e+00	1.015985e-02	1.014082e-02
2.511886431509583e+00	1.015985e-02	1.014082e-02
2.630267991895385e+00	1.015985e-02	1.014082e-02
2.754228703338170e+00	1.015985e-02	1.014082e-02
2.884031503126609e+00	1.015985e-02	1.014082e-02
3.019951720402020e+00	1.015985e-02	1.014082e-02
3.162277660168384e+00	1.015985e-02	1.014082e-02
3.311311214825916e+00	1.015984e-02	1.014082e-02
3.467368504525322e+00	1.015984e-02	1.014082e-02
3.630780547701019e+00	1.015984e-02	1.014082e-02
3.801893963205618e+00	1.015984e-02	1.014082e-02
3.981071705534979e+00	1.015984e-02	1.014082e-02
4.168693834703362e+00	1.015984e-02	1.014082e-02
4.365158322401668e+00	1.015983e-02	1.014082e-02
4.570881896148760e+00	1.015983e-02	1.014082e-02
4.786300923226394e+00	1.015983e-02	1.014082e-02
5.011872336272734e+00	1.015983e-02	1.014082e-02
5.248074602497739e+00	1.015982e-02	1.014082e-02
5.495408738576259e+00	1.015982e-02	1.014082e-02
5.754399373371584e+00	1.015982e-02	1.014082e-02
6.025595860743593e+00	1.015982e-02	1.014082e-02
6.309573444801949e+00	1.015981e-02	1.014082e-02
6.606934480075978e+00	1.015981e-02	1.014082e-02
6.918309709189384e+00	1.015981e-02	1.014082e-02
7.244359600749922e+00	1.015980e-02	1.014082e-02
7.585775750291861e+00	1.015980e-02	1.014082e-02
7.943282347242840e+00	1.015980e-02	1.014082e-02
8.317637711026737e+00	1.015979e-02	1.014082e-02
8.709635899560835e+00	1.015979e-02	1.014082e-02
9.120108393559129e+00	1.015978e-02	1.014082e-02
9.549925860214392e+00	1.015978e-02	1.014082e-02
1.000000000000004e+01	1.015978e-02	1.014082e-02
1.047128548050903e+01	1.015977e-02	1.014082e-02
1.096478196143189e+01	1.015977e-02	1.014082e-02
1.148153621496887e+01	1.015976e-02	1.014082e-02
1.202264434617418e+01	1.015975e-02	1.014082e-02
1.258925411794172e+01	1.015975e-02	1.014082e-02
1.318256738556412e+01	1.015974e-02	1.014082e-02
1.380384264602890e+01	1.015974e-02	1.014082e-02
1.445439770745934e+01	1.015973e-02	1.014082e-02
1.513561248436215e+01	1.015972e-02	1.014082e-02
1.584893192461120e+01	1.015972e-02	1.014082e-02
1.659586907437568e+01	1.015971e-02	1.014082e-02
1.737800828749383e+01	1.015970e-02	1.014082e-02
1.819700858609992e+01	1.015969e-02	1.014082e-02
1.905460717963256e+01	1.015968e-02	1.014082e-02
1.995262314968889e+01	1.015967e-02	1.014082e-02
2.089296130854050e+01	1.015966e-02	1.014082e-02
2.187761623949564e+01	1.015965e-02	1.014082e-02
2.290867652767785e+01	1.015964e-02	1.014082e-02
2.398832919019503e+01	1.015963e-02	1.014082e-02
2.511886431509593e+01	1.015962e-02	1.014082e-02
