time	V(n002)	V(n003)
0.000000000000000e+00	1.091632e-02	0.000000e+00
1.554017402468966e-07	1.094278e-02	7.567251e-05
3.108034804937932e-07	1.103063e-02	1.513448e-04
4.662052207406898e-07	1.117989e-02	2.270168e-04
6.216069609875864e-07	1.139056e-02	3.026886e-04
7.770087012344829e-07	1.166263e-02	3.783602e-04
9.324104414813796e-07	1.199610e-02	4.540315e-04
1.087812181728276e-06	1.239097e-02	5.297026e-04
1.947892897170836e-06	1.494763e-02	9.484966e-04
2.850644594107700e-06	1.830485e-02	1.388038e-03
4.078601236964086e-06	2.356346e-02	1.985845e-03
5.395119726304131e-06	2.962054e-02	2.626634e-03
9.606511340997928e-06	4.986046e-02	4.675020e-03
2.858603257367530e-05	1.415227e-01	1.384516e-02
4.811728257367531e-05	2.339556e-01	2.307525e-02
6.764853257367531e-05	3.230340e-01	3.195827e-02
8.717978257367530e-05	4.074181e-01	4.036061e-02
1.067110325736753e-04	4.858384e-01	4.815588e-02
1.262422825736753e-04	5.571151e-01	5.522685e-02
1.457735325736753e-04	6.201763e-01	6.146715e-02
1.653047825736753e-04	6.740733e-01	6.678294e-02
1.848360325736753e-04	7.179955e-01	7.109424e-02
2.043672825736753e-04	7.512821e-01	7.433622e-02
2.238985325736754e-04	7.734327e-01	7.646011e-02
2.434297825736754e-04	7.841142e-01	7.743397e-02
2.629610325736754e-04	7.831660e-01	7.724316e-02
2.824922825736754e-04	7.706025e-01	7.589053e-02
3.020235325736754e-04	7.466128e-01	7.339644e-02
3.215547825736754e-04	7.115579e-01	6.979840e-02
3.410860325736755e-04	6.659649e-01	6.515053e-02
3.606172825736755e-04	6.105197e-01	5.952273e-02
3.801485325736755e-04	5.460563e-01	5.299965e-02
3.996797825736755e-04	4.735442e-01	4.567941e-02
4.192110325736755e-04	3.940739e-01	3.767211e-02
4.387422825736756e-04	3.088407e-01	2.909819e-02
4.582735325736756e-04	2.191262e-01	2.008660e-02
4.778047825736756e-04	1.262799e-01	1.077289e-02
4.973360325736756e-04	3.169801e-02	1.297150e-03
5.071016575736756e-04	-1.579965e-02	-3.456983e-03
5.266329075736756e-04	-1.103152e-01	-1.290837e-02
5.461641575736756e-04	-2.030077e-01	-2.216560e-02
5.656954075736756e-04	-2.924829e-01	-3.108944e-02
5.852266575736756e-04	-3.773948e-01	-3.954567e-02
6.047579075736756e-04	-4.564661e-01	-4.740709e-02
6.242891575736757e-04	-5.285074e-01	-5.455547e-02
6.438204075736757e-04	-5.924350e-01	-6.088328e-02
6.633516575736757e-04	-6.472873e-01	-6.629536e-02
6.828829075736757e-04	-6.922393e-01	-7.071028e-02
7.024141575736757e-04	-7.266148e-01	-7.406165e-02
7.219454075736758e-04	-7.498968e-01	-7.629908e-02
7.414766575736758e-04	-7.617354e-01	-7.738889e-02
7.610079075736758e-04	-7.619525e-01	-7.731470e-02
7.805391575736758e-04	-7.505450e-01	-7.607763e-02
8.000704075736758e-04	-7.276845e-01	-7.369628e-02
8.196016575736758e-04	-6.937151e-01	-7.020646e-02
8.391329075736759e-04	-6.491476e-01	-6.566069e-02
8.586641575736759e-04	-5.946526e-01	-6.012730e-02
8.781954075736759e-04	-5.310495e-01	-5.368955e-02
8.977266575736759e-04	-4.592951e-01	-4.644426e-02
9.172579075736759e-04	-3.804684e-01	-3.850040e-02
9.367891575736759e-04	-2.957550e-01	-2.997746e-02
9.563204075736760e-04	-2.064289e-01	-2.100364e-02
9.758516575736760e-04	-1.138334e-01	-1.171389e-02
9.953829075736759e-04	-1.936125e-02	-2.247963e-03
1.014914157573676e-03	7.556673e-02	7.251778e-03
1.034445407573676e-03	1.695227e-01	1.664245e-02
1.053976657573676e-03	2.610934e-01	2.578280e-02
1.073507907573676e-03	3.489015e-01	3.453535e-02
1.093039157573676e-03	4.316259e-01	4.276846e-02
1.112570407573676e-03	5.080225e-01	5.035829e-02
1.132101657573676e-03	5.769418e-01	5.719069e-02
1.151632907573676e-03	6.373473e-01	6.316288e-02
1.171164157573676e-03	6.883304e-01	6.818505e-02
1.190695407573676e-03	7.291241e-01	7.218165e-02
1.210226657573676e-03	7.591150e-01	7.509257e-02
1.229757907573676e-03	7.778521e-01	7.687403e-02
1.249289157573676e-03	7.850536e-01	7.749923e-02
1.268820407573676e-03	7.806113e-01	7.695877e-02
1.288351657573676e-03	7.645922e-01	7.526078e-02
1.307882907573676e-03	7.372373e-01	7.243080e-02
1.327414157573676e-03	6.989582e-01	6.851139e-02
1.346945407573676e-03	6.503306e-01	6.356150e-02
1.366476657573676e-03	5.920860e-01	5.765560e-02
1.386007907573676e-03	5.251004e-01	5.088249e-02
1.405539157573676e-03	4.503812e-01	4.334407e-02
1.425070407573676e-03	3.690523e-01	3.515371e-02
1.444601657573676e-03	2.823366e-01	2.643461e-02
1.464132907573676e-03	1.915384e-01	1.731791e-02
1.483664157573676e-03	9.802315e-02	7.940727e-03
1.503195407573676e-03	3.197370e-03	-1.555889e-03
1.522726657573676e-03	-9.151272e-02	-1.102910e-02
1.542257907573676e-03	-1.846826e-01	-2.033643e-02
1.561789157573676e-03	-2.749107e-01	-2.933788e-02
1.581320407573676e-03	-3.608400e-01	-3.789806e-02
1.600851657573676e-03	-4.411776e-01	-4.588821e-02
1.620382907573676e-03	-5.147153e-01	-5.318817e-02
1.639914157573676e-03	-5.803466e-01	-5.968812e-02
1.659445407573676e-03	-6.370845e-01	-6.529032e-02
1.678976657573676e-03	-6.840756e-01	-6.991047e-02
1.698507907573677e-03	-7.206129e-01	-7.347912e-02
1.718039157573677e-03	-7.461472e-01	-7.594258e-02
1.737570407573677e-03	-7.602942e-01	-7.726377e-02
1.757101657573677e-03	-7.628415e-01	-7.742286e-02
1.776632907573677e-03	-7.537507e-01	-7.641743e-02
1.796164157573677e-03	-7.331588e-01	-7.426262e-02
1.815695407573677e-03	-7.013755e-01	-7.099082e-02
1.835226657573677e-03	-6.588790e-01	-6.665125e-02
1.854757907573677e-03	-6.063085e-01	-6.130920e-02
1.874289157573677e-03	-5.444547e-01	-5.504499e-02
1.893820407573677e-03	-4.742479e-01	-4.795285e-02
1.913351657573677e-03	-3.967440e-01	-4.013946e-02
1.932882907573677e-03	-3.131086e-01	-3.172233e-02
1.952414157573677e-03	-2.245995e-01	-2.282807e-02
1.971945407573676e-03	-1.325478e-01	-1.359046e-02
1.991476657573676e-03	-3.833786e-02	-4.148431e-03
2.011007907573675e-03	5.661327e-02	5.355993e-03
2.030539157573675e-03	1.508775e-01	1.477986e-02
2.050070407573675e-03	2.430369e-01	2.398142e-02
2.069601657573674e-03	3.317052e-01	3.282228e-02
2.089132907573674e-03	4.155487e-01	4.116946e-02
2.108664157573673e-03	4.933061e-01	4.889742e-02
2.128195407573673e-03	5.638076e-01	5.588991e-02
2.147726657573673e-03	6.259929e-01	6.204177e-02
2.167257907573672e-03	6.789265e-01	6.726046e-02
