time	V(n002)	V(n003)
0.000000000000000e+00	1.388938e+01	-7.500000e+00
9.918212830347349e-12	1.389006e+01	-7.351227e+00
1.022338860974265e-11	1.389008e+01	-7.346649e+00
1.083374016853326e-11	1.389012e+01	-7.337494e+00
1.205444328611447e-11	1.389019e+01	-7.319183e+00
1.449584952127689e-11	1.389033e+01	-7.282562e+00
4.450763563847474e-11	1.389200e+01	-6.832385e+00
7.451942175567258e-11	1.389369e+01	-6.382209e+00
1.045312078728704e-10	1.389539e+01	-5.932032e+00
1.345429939900683e-10	1.389712e+01	-5.481855e+00
1.645547801072661e-10	1.389886e+01	-5.031678e+00
1.945665662244640e-10	1.390061e+01	-4.581502e+00
2.245783523416617e-10	1.390239e+01	-4.131325e+00
1.000000000000000e-09	1.395677e+01	7.500000e+00
1.003477254277090e-09	1.395665e+01	7.500000e+00
1.003585918473249e-09	1.395664e+01	7.500000e+00
1.003803246865567e-09	1.395664e+01	7.500000e+00
1.003857578963647e-09	1.395663e+01	7.500000e+00
1.003871161988167e-09	1.395663e+01	7.500000e+00
1.003898328037206e-09	1.395663e+01	7.500000e+00
1.003952660135286e-09	1.395663e+01	7.500000e+00
1.538228201141498e-09	1.395422e+01	7.500000e+00
2.072503742147711e-09	1.395131e+01	7.500000e+00
2.606779283153922e-09	1.394791e+01	7.500000e+00
3.141054824160135e-09	1.394400e+01	7.500000e+00
3.675330365166347e-09	1.393960e+01	7.500000e+00
4.209605906172559e-09	1.393469e+01	7.500000e+00
4.743881447178770e-09	1.392929e+01	7.500000e+00
2.909377503827734e-08	1.360563e+01	7.500000e+00
5.692222485667569e-08	1.331546e+01	7.500000e+00
8.789953070378705e-08	1.309201e+01	7.500000e+00
1.169141512975853e-07	1.295885e+01	7.500000e+00
1.478797533391229e-07	1.286838e+01	7.500000e+00
2.095868860720062e-07	1.277057e+01	7.500000e+00
2.878934335297685e-07	1.272495e+01	7.500000e+00
3.661999809875308e-07	1.268395e+01	7.500000e+00
4.445065284452932e-07	1.264758e+01	7.500000e+00
5.228130759030555e-07	1.261584e+01	7.500000e+00
6.011196233608178e-07	1.258872e+01	7.500000e+00
6.794261708185802e-07	1.256623e+01	7.500000e+00
7.577327182763423e-07	1.254836e+01	7.500000e+00
2.786257915125962e-06	1.189245e+01	7.500000e+00
4.814783111975582e-06	1.123752e+01	7.500000e+00
6.843308308825201e-06	1.058358e+01	7.500000e+00
