time	V(out)	V(vin)
0.000000000000000e+00	5.631606e-01	1.000000e-01
8.500000000001069e-06	5.797749e-01	9.462434e-02
1.700000000000214e-05	5.949182e-01	8.930152e-02
2.550000000000321e-05	6.085905e-01	8.403152e-02
3.400000000000428e-05	6.207917e-01	7.881435e-02
4.250000000000534e-05	6.315219e-01	7.365001e-02
5.100000000000642e-05	6.407811e-01	6.853850e-02
5.950000000000746e-05	6.485693e-01	6.347983e-02
7.107142857143757e-05	6.567455e-01	5.673472e-02
8.264285714286768e-05	6.618958e-01	5.029841e-02
9.421428571429780e-05	6.640201e-01	4.417090e-02
1.057857142857279e-04	6.631186e-01	3.835218e-02
1.173571428571580e-04	6.591911e-01	3.284226e-02
1.289285714285881e-04	6.522377e-01	2.764113e-02
1.405000000000182e-04	6.422583e-01	2.274880e-02
1.499285714285909e-04	6.316812e-01	1.909951e-02
1.593571428571636e-04	6.189403e-01	1.576013e-02
1.687857142857363e-04	6.040358e-01	1.273066e-02
1.782142857143090e-04	5.869676e-01	1.001111e-02
1.876428571428816e-04	5.677357e-01	7.601479e-03
1.970714285714543e-04	5.463402e-01	5.501760e-03
2.065000000000270e-04	5.227810e-01	3.711957e-03
2.180714285714571e-04	4.905534e-01	2.000607e-03
2.296428571428872e-04	4.555861e-01	8.145191e-04
2.412142857143173e-04	4.178791e-01	1.536929e-04
2.527857142857474e-04	3.774324e-01	1.812872e-05
2.643571428571775e-04	3.342461e-01	4.078265e-04
2.759285714286077e-04	2.883200e-01	1.322786e-03
2.875000000000377e-04	2.396543e-01	2.763008e-03
2.927857142857527e-04	2.169130e-01	3.594809e-03
2.980714285714677e-04	1.938800e-01	4.530016e-03
3.033571428571827e-04	1.705554e-01	5.568631e-03
3.086428571428977e-04	1.469391e-01	6.710653e-03
3.139285714286126e-04	1.230312e-01	7.956082e-03
3.192142857143276e-04	9.883165e-02	9.304919e-03
3.245000000000426e-04	7.434045e-02	1.075716e-02
3.266428571429000e-04	6.438814e-02	1.137301e-02
3.287857142857575e-04	5.441591e-02	1.200463e-02
3.309285714286149e-04	4.442376e-02	1.265202e-02
3.330714285714724e-04	3.441168e-02	1.331518e-02
3.352142857143298e-04	2.437969e-02	1.399411e-02
3.373571428571872e-04	1.432777e-02	1.468881e-02
3.395000000000446e-04	4.255924e-03	1.539929e-02
3.429285714286165e-04	-1.189729e-02	1.656888e-02
3.463571428571884e-04	-2.804434e-02	1.777573e-02
3.497857142857603e-04	-4.418522e-02	1.901984e-02
3.532142857143322e-04	-6.031994e-02	2.030122e-02
3.566428571429041e-04	-7.644849e-02	2.161987e-02
3.600714285714759e-04	-9.257088e-02	2.297578e-02
3.635000000000478e-04	-1.086871e-01	2.436896e-02
3.720714285714775e-04	-1.490763e-01	2.803020e-02
3.806428571429073e-04	-1.886809e-01	3.187075e-02
3.892142857143369e-04	-2.275009e-01	3.589061e-02
3.977857142857667e-04	-2.655364e-01	4.008979e-02
4.063571428571964e-04	-3.027873e-01	4.446829e-02
4.149285714286261e-04	-3.392536e-01	4.902610e-02
4.235000000000558e-04	-3.749353e-01	5.376323e-02
4.329285714286284e-04	-4.126568e-01	5.914365e-02
4.423571428572012e-04	-4.483661e-01	6.461842e-02
4.517857142857738e-04	-4.820633e-01	7.018753e-02
4.612142857143465e-04	-5.137483e-01	7.585099e-02
4.706428571429192e-04	-5.434212e-01	8.160879e-02
4.800714285714919e-04	-5.710820e-01	8.746094e-02
4.895000000000645e-04	-5.967305e-01	9.340744e-02
4.962142857143512e-04	-6.133895e-01	9.764029e-02
5.029285714286377e-04	-6.287612e-01	1.018587e-01
5.096428571429244e-04	-6.428458e-01	1.060625e-01
5.163571428572109e-04	-6.556432e-01	1.102519e-01
5.230714285714976e-04	-6.671534e-01	1.144268e-01
5.297857142857842e-04	-6.773765e-01	1.185872e-01
5.365000000000708e-04	-6.863123e-01	1.227331e-01
5.483571428572152e-04	-6.986675e-01	1.300107e-01
5.602142857143597e-04	-7.068786e-01	1.370287e-01
5.720714285715041e-04	-7.109456e-01	1.437872e-01
5.839285714286485e-04	-7.108685e-01	1.502861e-01
5.957857142857930e-04	-7.066472e-01	1.565254e-01
6.076428571429374e-04	-6.982819e-01	1.625052e-01
6.195000000000818e-04	-6.857724e-01	1.682254e-01
6.339285714286551e-04	-6.646271e-01	1.746599e-01
6.483571428572284e-04	-6.388195e-01	1.803811e-01
6.627857142858019e-04	-6.083496e-01	1.853890e-01
6.772142857143752e-04	-5.732174e-01	1.896835e-01
6.916428571429485e-04	-5.334230e-01	1.932647e-01
7.060714285715219e-04	-4.889664e-01	1.961326e-01
7.205000000000952e-04	-4.398475e-01	1.982871e-01
7.300714285715251e-04	-4.057227e-01	1.992172e-01
7.396428571429549e-04	-3.706767e-01	1.997872e-01
7.492142857143848e-04	-3.347096e-01	1.999973e-01
7.587857142858146e-04	-2.978212e-01	1.998472e-01
7.683571428572444e-04	-2.600116e-01	1.993372e-01
7.779285714286742e-04	-2.212808e-01	1.984671e-01
7.875000000001041e-04	-1.816288e-01	1.972370e-01
7.915000000001046e-04	-1.650549e-01	1.966184e-01
7.955000000001052e-04	-1.484471e-01	1.959400e-01
7.995000000001057e-04	-1.318053e-01	1.952017e-01
8.035000000001062e-04	-1.151297e-01	1.944036e-01
8.075000000001067e-04	-9.842018e-02	1.935457e-01
8.115000000001073e-04	-8.167675e-02	1.926279e-01
8.155000000001078e-04	-6.489941e-02	1.916502e-01
8.195000000001083e-04	-4.812616e-02	1.906142e-01
8.235000000001089e-04	-3.139101e-02	1.895227e-01
8.275000000001094e-04	-1.469397e-02	1.883758e-01
8.315000000001099e-04	1.964981e-03	1.871735e-01
8.355000000001105e-04	1.858582e-02	1.859158e-01
8.395000000001110e-04	3.516857e-02	1.846027e-01
8.435000000001115e-04	5.171321e-02	1.832341e-01
8.523571428572555e-04	8.825087e-02	1.799928e-01
8.612142857143996e-04	1.241001e-01	1.765326e-01
8.700714285715436e-04	1.592609e-01	1.728535e-01
8.789285714286876e-04	1.937332e-01	1.689555e-01
8.877857142858317e-04	2.275171e-01	1.648386e-01
8.966428571429757e-04	2.606125e-01	1.605029e-01
9.055000000001198e-04	2.930195e-01	1.559482e-01
9.157857142858354e-04	3.293879e-01	1.504166e-01
9.260714285715511e-04	3.640926e-01	1.447355e-01
9.363571428572667e-04	3.971336e-01	1.389052e-01
9.466428571429824e-04	4.285111e-01	1.329254e-01
9.569285714286980e-04	4.582249e-01	1.267964e-01
9.672142857144137e-04	4.862750e-01	1.205179e-01
9.775000000001293e-04	5.126616e-01	1.140901e-01
9.835000000001301e-04	5.270738e-01	1.103353e-01
9.895000000001309e-04	5.407954e-01	1.065792e-01
9.955000000001317e-04	5.538262e-01	1.028217e-01
1.001500000000132e-03	5.661663e-01	9.906289e-02
1.007500000000133e-03	5.778157e-01	9.530274e-02
1.013500000000134e-03	5.887744e-01	9.154125e-02
