uin1	V(uout1)	V(uout2)	abs(D(V(uout1)-V(uout2))/D(uin1))
-1.500000000000000e-01	9.966732e+00	1.120299e-01	2.573565e+00
-1.490000000000000e-01	9.965443e+00	1.133141e-01	2.675440e+00
-1.480000000000000e-01	9.964051e+00	1.147000e-01	2.805822e+00
-1.470000000000000e-01	9.962631e+00	1.161144e-01	2.890255e+00
-1.460000000000000e-01	9.961155e+00	1.175843e-01	3.003672e+00
-1.450000000000000e-01	9.959621e+00	1.191119e-01	3.121674e+00
-1.440000000000000e-01	9.958027e+00	1.206995e-01	3.244344e+00
-1.430000000000000e-01	9.956370e+00	1.223495e-01	3.371298e+00
-1.420000000000000e-01	9.954649e+00	1.240642e-01	3.504060e+00
-1.410000000000000e-01	9.952859e+00	1.258462e-01	3.641281e+00
-1.400000000000000e-01	9.951000e+00	1.276980e-01	3.784016e+00
-1.390000000000000e-01	9.949067e+00	1.296224e-01	3.932364e+00
-1.380000000000000e-01	9.947060e+00	1.316222e-01	4.085951e+00
-1.370000000000000e-01	9.944973e+00	1.337002e-01	4.246324e+00
-1.360000000000000e-01	9.942804e+00	1.358595e-01	4.412159e+00
-1.350000000000000e-01	9.940552e+00	1.381033e-01	4.584521e+00
-1.340000000000000e-01	9.938210e+00	1.404347e-01	4.763521e+00
-1.330000000000000e-01	9.935779e+00	1.428572e-01	4.949771e+00
-1.320000000000000e-01	9.933250e+00	1.453742e-01	5.142920e+00
-1.310000000000000e-01	9.930625e+00	1.479894e-01	5.343087e+00
-1.300000000000000e-01	9.927896e+00	1.507065e-01	5.551383e+00
-1.290000000000000e-01	9.925062e+00	1.535294e-01	5.767457e+00
-1.280000000000000e-01	9.922117e+00	1.564621e-01	5.991936e+00
-1.270000000000000e-01	9.919058e+00	1.595089e-01	6.224968e+00
-1.260000000000000e-01	9.915879e+00	1.626741e-01	6.466694e+00
-1.250000000000000e-01	9.912578e+00	1.659621e-01	6.717302e+00
-1.240000000000000e-01	9.909148e+00	1.693776e-01	6.977417e+00
-1.230000000000000e-01	9.905586e+00	1.729255e-01	7.248163e+00
-1.220000000000000e-01	9.901885e+00	1.766108e-01	7.528767e+00
-1.210000000000000e-01	9.898042e+00	1.804385e-01	7.819399e+00
-1.200000000000000e-01	9.894050e+00	1.844142e-01	8.121215e+00
-1.190000000000000e-01	9.889904e+00	1.885433e-01	8.434877e+00
-1.180000000000000e-01	9.885597e+00	1.928315e-01	8.760102e+00
-1.170000000000000e-01	9.881125e+00	1.972849e-01	9.096622e+00
-1.160000000000000e-01	9.876482e+00	2.019095e-01	9.446077e+00
-1.150000000000000e-01	9.871660e+00	2.067118e-01	9.808682e+00
-1.140000000000000e-01	9.866653e+00	2.116983e-01	1.018514e+01
-1.130000000000000e-01	9.861454e+00	2.168759e-01	1.057521e+01
-1.120000000000000e-01	9.856056e+00	2.222515e-01	1.097909e+01
-1.110000000000000e-01	9.850452e+00	2.278325e-01	1.139850e+01
-1.100000000000000e-01	9.844634e+00	2.336264e-01	1.183271e+01
-1.090000000000000e-01	9.838595e+00	2.396409e-01	1.228292e+01
-1.080000000000000e-01	9.832326e+00	2.458841e-01	1.274988e+01
-1.070000000000000e-01	9.825819e+00	2.523643e-01	1.323338e+01
-1.060000000000000e-01	9.819065e+00	2.590900e-01	1.373416e+01
-1.050000000000000e-01	9.812057e+00	2.660701e-01	1.425299e+01
-1.040000000000000e-01	9.804783e+00	2.733138e-01	1.479062e+01
-1.030000000000000e-01	9.797235e+00	2.808303e-01	1.534735e+01
-1.020000000000000e-01	9.789404e+00	2.886295e-01	1.592393e+01
-1.010000000000000e-01	9.781279e+00	2.967213e-01	1.652071e+01
-9.999999999999995e-02	9.772849e+00	3.051161e-01	1.713844e+01
-9.899999999999995e-02	9.764105e+00	3.138244e-01	1.777790e+01
-9.799999999999995e-02	9.755034e+00	3.228573e-01	1.843944e+01
-9.699999999999995e-02	9.745627e+00	3.322259e-01	1.912387e+01
-9.599999999999995e-02	9.735871e+00	3.419419e-01	1.983245e+01
-9.499999999999995e-02	9.725754e+00	3.520171e-01	2.056456e+01
-9.399999999999994e-02	9.715264e+00	3.624640e-01	2.132151e+01
-9.299999999999994e-02	9.704389e+00	3.732950e-01	2.210505e+01
-9.199999999999994e-02	9.693113e+00	3.845231e-01	2.291411e+01
-9.099999999999994e-02	9.681427e+00	3.961616e-01	2.374998e+01
-8.999999999999994e-02	9.669314e+00	4.082241e-01	2.461399e+01
-8.899999999999994e-02	9.656762e+00	4.207247e-01	2.550647e+01
