v1	V(uout)	V(uin)
0.000000000000000e+00	-5.421339e-04	0.000000e+00
5.000000000000000e-01	5.405373e-03	5.000000e-01
1.000000000000000e+00	1.099872e-02	1.000000e+00
1.500000000000000e+00	2.627414e-02	1.500000e+00
2.000000000000000e+00	1.706495e-01	2.000000e+00
2.500000000000000e+00	6.001173e-01	2.500000e+00
3.000000000000000e+00	1.069155e+00	3.000000e+00
3.500000000000000e+00	1.549671e+00	3.500000e+00
4.000000000000000e+00	2.036750e+00	4.000000e+00
4.500000000000000e+00	2.526154e+00	4.500000e+00
5.000000000000000e+00	3.017116e+00	5.000000e+00
5.500000000000000e+00	3.509407e+00	5.500000e+00
6.000000000000000e+00	4.002658e+00	6.000000e+00
6.500000000000000e+00	4.496665e+00	6.500000e+00
7.000000000000000e+00	4.991294e+00	7.000000e+00
7.500000000000000e+00	5.486428e+00	7.500000e+00
8.000000000000000e+00	5.981984e+00	8.000000e+00
8.500000000000000e+00	6.477893e+00	8.500000e+00
9.000000000000000e+00	6.974102e+00	9.000000e+00
9.500000000000000e+00	7.470571e+00	9.500000e+00
1.000000000000000e+01	7.967265e+00	1.000000e+01
1.050000000000000e+01	8.464159e+00	1.050000e+01
1.100000000000000e+01	8.961228e+00	1.100000e+01
1.150000000000000e+01	9.458455e+00	1.150000e+01
1.200000000000000e+01	9.955795e+00	1.200000e+01
1.250000000000000e+01	1.031784e+01	1.250000e+01
1.300000000000000e+01	1.031975e+01	1.300000e+01
1.350000000000000e+01	1.032048e+01	1.350000e+01
1.400000000000000e+01	1.032145e+01	1.400000e+01
1.450000000000000e+01	1.032237e+01	1.450000e+01
1.500000000000000e+01	1.032325e+01	1.500000e+01
