Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,-8e-07,
Sample Interval,4e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,10
Vertical Position,-0.04,-0.06
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.0080e-04,-6.92578,10.6734
-2.0076e-04,-6.98203,10.7219
-2.0072e-04,-6.94609,10.6813
-2.0068e-04,-6.925,10.6094
-2.0064e-04,-6.96172,10.675
-2.0060e-04,-6.94531,10.7156
-2.0056e-04,-6.93984,10.6859
-2.0052e-04,-6.98125,10.6359
-2.0048e-04,-6.94297,10.6594
-2.0044e-04,-6.96094,10.6609
-2.0040e-04,-6.97891,10.6375
-2.0036e-04,-6.95391,10.6453
-2.0032e-04,-6.96094,10.7281
-2.0028e-04,-6.96172,10.6047
-2.0024e-04,-6.94922,10.7406
-2.0020e-04,-6.98203,10.7281
-2.0016e-04,-6.92969,10.7141
-2.0012e-04,-6.94141,10.6188
-2.0008e-04,-6.96172,10.6172
-2.0004e-04,-5.22891,10.8766
-2.0000e-04,6.67813,12.4109
-1.9996e-04,7.80625,10.7906
-1.9992e-04,7.90859,10.675
-1.9988e-04,7.93281,11.4344
-1.9984e-04,7.85078,10.7797
-1.9980e-04,7.84219,10.9469
-1.9976e-04,7.83203,11.2516
-1.9972e-04,7.79609,10.8703
-1.9968e-04,7.83203,10.9656
-1.9964e-04,7.83203,11.0625
-1.9960e-04,7.79688,11.0328
-1.9956e-04,7.85781,11.1578
-1.9952e-04,7.75313,11.0391
-1.9948e-04,7.82578,11.0438
-1.9944e-04,7.76953,10.9531
-1.9940e-04,7.79141,11.0062
-1.9936e-04,7.77734,11.0609
-1.9932e-04,7.74219,11.05
-1.9928e-04,7.73516,11.0953
-1.9924e-04,7.77188,10.9281
-1.9920e-04,7.73281,11.025
-1.9916e-04,7.76172,11.1172
-1.9912e-04,7.71328,11.1063
-1.9908e-04,7.75156,11.0781
-1.9904e-04,7.78047,11.0797
-1.9900e-04,7.76094,11.0219
-1.9896e-04,7.75313,11.0234
-1.9892e-04,7.74141,11.1359
-1.9888e-04,7.74609,11.0594
-1.9884e-04,7.7375,11.0844
-1.9880e-04,7.73281,11.0687
-1.9876e-04,7.73203,11.0563
-1.9872e-04,7.72656,11.0062
-1.9868e-04,7.68906,11.0719
-1.9864e-04,7.65625,10.9766
-1.9860e-04,7.72578,10.9844
-1.9856e-04,7.6875,11.0078
-1.9852e-04,7.73438,10.9625
-1.9848e-04,7.6875,11.0234
-1.9844e-04,7.73516,10.9859
-1.9840e-04,7.70078,11.0672
-1.9836e-04,7.69141,10.9813
-1.9832e-04,7.70781,11.0125
-1.9828e-04,7.69141,11.0438
-1.9824e-04,7.66172,11.0375
-1.9820e-04,7.70625,11.0563
-1.9816e-04,7.64609,11.0875
-1.9812e-04,7.71875,11.0172
-1.9808e-04,7.66563,11.1078
-1.9804e-04,7.70547,11.0266
-1.9800e-04,7.69375,11.0609
-1.9796e-04,7.65703,11.0859
-1.9792e-04,7.63906,11.0422
