Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0,
Sample Interval,4e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,1
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.0000e-03,0.0942812,1.90922
-1.9996e-03,0.0946719,1.91375
-1.9992e-03,0.0946875,1.91875
-1.9988e-03,0.0953906,1.91594
-1.9984e-03,0.0950625,1.91141
-1.9980e-03,0.0952031,1.90875
-1.9976e-03,0.0960625,1.91578
-1.9972e-03,0.095625,1.91844
-1.9968e-03,0.0970781,1.91203
-1.9964e-03,0.096625,1.91297
-1.9960e-03,0.0969375,1.91
-1.9956e-03,0.0970938,1.91984
-1.9952e-03,0.0981094,1.91016
-1.9948e-03,0.0984219,1.92031
-1.9944e-03,0.0976406,1.91641
-1.9940e-03,0.0983438,1.91688
-1.9936e-03,0.0985156,1.92219
-1.9932e-03,0.0983125,1.92047
-1.9928e-03,0.0988438,1.92672
-1.9924e-03,0.0996719,1.91953
-1.9920e-03,0.100297,1.91828
-1.9916e-03,0.101078,1.91219
-1.9912e-03,0.100828,1.92391
-1.9908e-03,0.10125,1.92453
-1.9904e-03,0.101391,1.91781
-1.9900e-03,0.10175,1.92297
-1.9896e-03,0.101625,1.92375
-1.9892e-03,0.101672,1.91859
-1.9888e-03,0.102156,1.92063
-1.9884e-03,0.103328,1.92188
-1.9880e-03,0.10275,1.92
-1.9876e-03,0.102813,1.93281
-1.9872e-03,0.103469,1.92
-1.9868e-03,0.10325,1.91406
-1.9864e-03,0.103375,1.91781
-1.9860e-03,0.103922,1.91906
-1.9856e-03,0.104328,1.92656
-1.9852e-03,0.104688,1.92672
-1.9848e-03,0.1045,1.92234
-1.9844e-03,0.104625,1.92109
-1.9840e-03,0.106063,1.92672
-1.9836e-03,0.105422,1.91906
-1.9832e-03,0.106234,1.92516
-1.9828e-03,0.106422,1.92875
-1.9824e-03,0.107047,1.92969
-1.9820e-03,0.105891,1.92938
-1.9816e-03,0.107344,1.92469
-1.9812e-03,0.106188,1.92453
-1.9808e-03,0.107594,1.92609
-1.9804e-03,0.108047,1.93031
-1.9800e-03,0.108828,1.9275
-1.9796e-03,0.108313,1.93078
-1.9792e-03,0.108266,1.92563
-1.9788e-03,0.109609,1.92969
-1.9784e-03,0.109594,1.92531
-1.9780e-03,0.109453,1.93125
-1.9776e-03,0.109688,1.92891
-1.9772e-03,0.110578,1.93797
-1.9768e-03,0.110969,1.92469
-1.9764e-03,0.111781,1.93531
-1.9760e-03,0.110609,1.93
-1.9756e-03,0.110844,1.92891
-1.9752e-03,0.110969,1.93875
-1.9748e-03,0.110875,1.93063
-1.9744e-03,0.111656,1.93
-1.9740e-03,0.112547,1.93703
-1.9736e-03,0.112453,1.92078
-1.9732e-03,0.113016,1.93016
-1.9728e-03,0.113422,1.93219
-1.9724e-03,0.112766,1.92875
-1.9720e-03,0.113234,1.92922
-1.9716e-03,0.114062,1.93203
-1.9712e-03,0.113406,1.92813
