Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.0002,,,Horizontal Scale,0.0002
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,2e-07,,,Sample Interval,2e-07
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,0.01,,Probe Attenuation,1
Vertical Units,V,A,,Vertical Units,W
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,1,0.01,,Vertical Scale,0.2
Vertical Position,-0.02,-0.02,,Vertical Position,-0.0961381
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1*CH2>"
-1.0000e-03,3.34891,-0.0126328,,-1.0000e-03,-0.0584911
-9.9980e-04,2.38547,-0.0202922,,-9.9980e-04,-0.0515224
-9.9960e-04,2.37328,-0.0205844,,-9.9960e-04,-0.0490536
-9.9940e-04,2.45531,-0.0205031,,-9.9940e-04,-0.0500224
-9.9920e-04,2.50516,-0.0203625,,-9.9920e-04,-0.0510849
-9.9900e-04,2.40719,-0.0202781,,-9.9900e-04,-0.0483349
-9.9880e-04,2.46828,-0.02005,,-9.9880e-04,-0.0500224
-9.9860e-04,2.48859,-0.0201188,,-9.9860e-04,-0.0500536
-9.9840e-04,2.42656,-0.0199563,,-9.9840e-04,-0.0482724
-9.9820e-04,2.47078,-0.0199078,,-9.9820e-04,-0.0493349
-9.9800e-04,2.48203,-0.0198547,,-9.9800e-04,-0.0495536
-9.9780e-04,2.42687,-0.0198672,,-9.9780e-04,-0.0479286
-9.9760e-04,2.46141,-0.0197672,,-9.9760e-04,-0.0487411
-9.9740e-04,2.45594,-0.0198203,,-9.9740e-04,-0.0489911
-9.9720e-04,2.42109,-0.0197453,,-9.9720e-04,-0.0478661
-9.9700e-04,2.45562,-0.0198375,,-9.9700e-04,-0.0482411
-9.9680e-04,2.45234,-0.0198766,,-9.9680e-04,-0.0484286
-9.9660e-04,2.42172,-0.0197203,,-9.9660e-04,-0.0478661
-9.9640e-04,2.43422,-0.0198484,,-9.9640e-04,-0.0482099
-9.9620e-04,2.44141,-0.0197359,,-9.9620e-04,-0.0481161
-9.9600e-04,2.42594,-0.0198219,,-9.9600e-04,-0.0481474
-9.9580e-04,2.43688,-0.01975,,-9.9580e-04,-0.0484286
-9.9560e-04,2.43703,-0.0198594,,-9.9560e-04,-0.0483974
-9.9540e-04,2.42922,-0.0199172,,-9.9540e-04,-0.0484599
-9.9520e-04,2.4375,-0.0197844,,-9.9520e-04,-0.0484911
-9.9500e-04,2.4475,-0.0197344,,-9.9500e-04,-0.0486161
-9.9480e-04,2.43312,-0.0198422,,-9.9480e-04,-0.0483661
-9.9460e-04,2.44031,-0.0198938,,-9.9460e-04,-0.0484599
-9.9440e-04,2.43688,-0.0199563,,-9.9440e-04,-0.0487411
-9.9420e-04,2.43391,-0.0199703,,-9.9420e-04,-0.0483661
-9.9400e-04,2.44094,-0.0199125,,-9.9400e-04,-0.0486474
