Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0002,
Horizontal Delay,-7e-05,
Sample Interval,2e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.05,1
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0700e-03,-0.0399063,-0.414531
-1.0698e-03,-0.0399453,-0.404688
-1.0696e-03,-0.0401016,-0.410781
-1.0694e-03,-0.0400625,-0.414375
-1.0692e-03,-0.0400469,-0.423125
-1.0690e-03,-0.0398359,-0.418438
-1.0688e-03,-0.03975,-0.4175
-1.0686e-03,-0.0392813,-0.425781
-1.0684e-03,-0.0394531,-0.428906
-1.0682e-03,-0.0397656,-0.432188
-1.0680e-03,-0.0389688,-0.431563
-1.0678e-03,-0.039,-0.440781
-1.0676e-03,-0.0386328,-0.443281
-1.0674e-03,-0.0377734,-0.441875
-1.0672e-03,-0.0380781,-0.444531
-1.0670e-03,-0.0381094,-0.440937
-1.0668e-03,-0.037625,-0.449531
-1.0666e-03,-0.0380391,-0.449844
-1.0664e-03,-0.0379531,-0.450781
-1.0662e-03,-0.0377891,-0.452344
-1.0660e-03,-0.0382969,-0.451875
-1.0658e-03,-0.0378672,-0.457031
-1.0656e-03,-0.0370078,-0.457656
-1.0654e-03,-0.0370078,-0.466562
-1.0652e-03,-0.0376563,-0.466094
-1.0650e-03,-0.03725,-0.464062
-1.0648e-03,-0.0374766,-0.461719
-1.0646e-03,-0.0369375,-0.474844
-1.0644e-03,-0.03675,-0.474531
-1.0642e-03,-0.0359844,-0.476094
-1.0640e-03,-0.0360313,-0.477031
-1.0638e-03,-0.0363672,-0.476562
-1.0636e-03,-0.0363047,-0.486406
-1.0634e-03,-0.0355938,-0.480469
-1.0632e-03,-0.0359531,-0.488438
-1.0630e-03,-0.0357734,-0.492188
-1.0628e-03,-0.0352188,-0.497656
-1.0626e-03,-0.0356094,-0.499688
-1.0624e-03,-0.0353828,-0.499219
-1.0622e-03,-0.0351016,-0.50375
-1.0620e-03,-0.0350078,-0.498125
-1.0618e-03,-0.0351484,-0.507969
-1.0616e-03,-0.0351953,-0.505469
-1.0614e-03,-0.0349453,-0.509375
-1.0612e-03,-0.0350391,-0.5075
-1.0610e-03,-0.0348672,-0.502969
-1.0608e-03,-0.0345391,-0.520312
-1.0606e-03,-0.0346562,-0.5175
-1.0604e-03,-0.0345469,-0.522031
-1.0602e-03,-0.0340156,-0.520625
-1.0600e-03,-0.0340391,-0.523594
-1.0598e-03,-0.0344766,-0.526406
-1.0596e-03,-0.0343437,-0.532656
-1.0594e-03,-0.0337422,-0.527969
-1.0592e-03,-0.0334375,-0.536563
-1.0590e-03,-0.0335625,-0.535938
-1.0588e-03,-0.0333437,-0.538281
-1.0586e-03,-0.0329766,-0.532344
-1.0584e-03,-0.0329141,-0.54875
-1.0582e-03,-0.0333281,-0.5425
-1.0580e-03,-0.0327344,-0.5425
-1.0578e-03,-0.0330312,-0.55125
-1.0576e-03,-0.0327812,-0.549531
-1.0574e-03,-0.0326562,-0.552813
